Id,Test,DAM,SIRE,Id.2,animal,Mass,Temp,Time_center,Time_edge,Time_periphery,Time_out,UZ,Dist_OF,Dist_AP,Velo_OF,Velo_AP,Peak_fq,Pulses_p_chip,Time_calling,Chirp_dur,Chirp_rate,Pulse_rate,Call_ampl
AD_CS2_151_143_13,OF,151,143,13,213,402,27,1.8,187.12,0,1.8,34,605.061,NA,3.07951,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_13,OF,151,143,13,213,NA,26,0.8,193.76,11.28,12.08,30,560.094,NA,2.70891,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_14,AP,151,143,14,214,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_14,AP,151,143,14,214,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_14,C,151,143,14,214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_14,OF,151,143,14,214,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_14,OF,151,143,14,214,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_15,AP,151,143,15,215,NA,27,NA,NA,NA,NA,NA,NA,461.164,NA,2.25751,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_15,AP,151,143,15,215,925,25,NA,NA,NA,NA,NA,NA,607.229,NA,3.01324,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_15,C,151,143,15,215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_15,OF,151,143,15,215,964,27,1.2,187.92,11.24,12.44,31,609.765,NA,3.09651,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_15,OF,151,143,15,215,NA,26,0,210.04,23.4,23.4,6,28.5391,NA,0.135901,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_17,AP,151,143,17,217,NA,27,NA,NA,NA,NA,NA,NA,395.479,NA,1.92728,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_17,AP,151,143,17,217,808,25,NA,NA,NA,NA,NA,NA,584.817,NA,2.81758,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_17,C,151,143,17,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_17,OF,151,143,17,217,768,26,5.32,168.04,0,5.32,35,527.448,NA,2.59417,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_17,OF,151,143,17,217,NA,26,0,201.36,19.48,19.48,18,230.154,NA,1.11314,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_18,AP,151,143,18,218,NA,27,NA,NA,NA,NA,NA,NA,205.55,NA,1.00288,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_18,AP,151,143,18,218,688,26,NA,NA,NA,NA,NA,NA,209.43,NA,1.0436,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_18,C,151,143,18,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_18,OF,151,143,18,218,NA,27,0,201.32,13.56,13.56,14,158.818,NA,0.773211,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_18,OF,151,143,18,218,635,27,0,193.88,210,210,20,110.269,NA,0.557252,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_19,AP,151,143,19,219,389,25,NA,NA,NA,NA,NA,NA,218.557,NA,1.05035,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_19,AP,151,143,19,219,NA,26,NA,NA,NA,NA,NA,NA,624.944,NA,3.11165,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_19,C,151,143,19,219,389,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4471.178451,1.953947368,55.27867,0.072735092,13.74852181,26.55070537,0.535400079
AD_CS2_151_143_19,OF,151,143,19,219,413,27,0,192,0.4,0.4,22,696.864,NA,3.52165,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_19,OF,151,143,19,219,NA,27,0,42.2,16,16,21,196.758,NA,4.4677,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_20,AP,151,143,20,220,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_20,AP,151,143,20,220,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_20,C,151,143,20,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_20,OF,151,143,20,220,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_20,OF,151,143,20,220,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_21,AP,151,143,21,221,NA,26,NA,NA,NA,NA,NA,NA,222.756,NA,1.09667,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_21,AP,151,143,21,221,736,26,NA,NA,NA,NA,NA,NA,254.202,NA,1.29615,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_21,C,151,143,21,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_21,OF,151,143,21,221,692,27,1.92,173.64,20.72,22.64,32,525.673,NA,2.74302,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_21,OF,151,143,21,221,NA,27,0,207.52,31.52,31.52,8,75.8457,NA,0.365557,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_22,AP,151,143,22,222,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_22,AP,151,143,22,222,418,25,NA,NA,NA,NA,NA,NA,568.937,NA,2.8711,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_22,C,151,143,22,222,418,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4783.894737,1.221864952,13.87658,0.022309614,44.82372458,32.22930823,0.053440418
AD_CS2_151_143_22,OF,151,143,22,222,427,26,0,201.68,0,0,21,523.536,NA,2.55135,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_22,OF,151,143,22,222,NA,27,3.12,199.96,0.68,3.8,31,654.368,NA,3.12616,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_23,AP,134,132,23,223,312,25,NA,NA,NA,NA,NA,NA,689.343,NA,3.46264,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_23,AP,134,132,23,223,NA,27,NA,NA,NA,NA,NA,NA,958.45,NA,4.67081,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_23,C,134,132,23,223,312,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4704.273743,1.817258883,10.96785,0.055674365,17.96158773,29.96789509,0.469620457
AD_CS2_134_132_23,OF,134,132,23,223,307,27,0,197,4.68,4.68,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_23,OF,134,132,23,223,NA,26,1.16,186.16,16.56,17.72,26,482.676,NA,2.4299,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_27,AP,134,132,27,227,NA,27,NA,NA,NA,NA,NA,NA,379.433,NA,1.93312,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_27,AP,134,132,27,227,596,25,NA,NA,NA,NA,NA,NA,407.996,NA,1.96568,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_27,C,134,132,27,227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_27,OF,134,132,27,227,514,26,0,207.28,0,0,15,81.6796,NA,0.39413,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_27,OF,134,132,27,227,NA,27,3.28,161.44,0,3.28,30,401.241,NA,2.00701,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_29,AP,134,132,29,229,332,25,NA,NA,NA,NA,NA,NA,195.474,NA,0.964066,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_29,AP,134,132,29,229,NA,27,NA,NA,NA,NA,NA,NA,480.113,NA,2.32658,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_29,C,134,132,29,229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_29,OF,134,132,29,229,326,25,0,203.84,0,0,20,404.004,NA,1.94495,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_29,OF,134,132,29,229,NA,26,0,195.96,5.6,5.6,22,405.721,NA,1.97182,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_30,AP,151,143,30,230,NA,27,NA,NA,NA,NA,NA,NA,808.767,NA,3.88084,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_30,AP,151,143,30,230,523,26,NA,NA,NA,NA,NA,NA,781.767,NA,3.94673,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_30,C,151,143,30,230,523,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4484.42623,1.855513308,17.66005,0.067148479,14.89237007,24.30764129,0.318766996
AD_CS2_151_143_30,OF,151,143,30,230,524,26,0.96,193.16,0,0.96,34,797.166,NA,3.86823,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_30,OF,151,143,30,230,NA,27,1.72,179,0,1.72,34,768.552,NA,4.05355,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_31,AP,134,132,31,231,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_31,AP,134,132,31,231,524,26,NA,NA,NA,NA,NA,NA,454.45,NA,2.2277,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_31,C,134,132,31,231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_31,OF,134,132,31,231,487,26,1.76,186.48,0,1.76,29,336.255,NA,1.59302,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_31,OF,134,132,31,231,NA,27,1.76,167.56,6.64,8.4,25,328.759,NA,1.71981,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_32,AP,151,143,32,232,NA,27,NA,NA,NA,NA,NA,NA,312.025,NA,1.52744,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_32,AP,151,143,32,232,406,25,NA,NA,NA,NA,NA,NA,606.38,NA,3.0502,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_32,C,151,143,32,232,406,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4362.95082,1.794117647,2.13383,0.062759706,15.93379041,23.65428953,0.234432941
AD_CS2_151_143_32,OF,151,143,32,232,NA,27,0,201.96,0,0,20,418.655,NA,2.04461,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_32,OF,151,143,32,232,412,27,0,186.6,20.16,20.16,22,504.629,NA,2.65538,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_33,AP,151,143,33,233,NA,27,NA,NA,NA,NA,NA,NA,163.533,NA,0.833164,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_33,AP,151,143,33,233,434,26,NA,NA,NA,NA,NA,NA,252.541,NA,1.2377,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_33,C,151,143,33,233,434,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4196.800292,1.965616046,46.04961,0.065973653,15.15756594,29.07734398,0.499953739
AD_CS2_151_143_33,OF,151,143,33,233,420,26,0,203.84,0,0,21,167.214,NA,0.800524,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_33,OF,151,143,33,233,NA,26,3.6,191.2,16.04,19.64,30,251.641,NA,1.18208,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_34,AP,151,143,34,234,511,25,NA,NA,NA,NA,NA,NA,306.491,NA,1.53583,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_34,AP,151,143,34,234,NA,27,NA,NA,NA,NA,NA,NA,395.764,NA,2.02582,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_34,C,151,143,34,234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_34,OF,151,143,34,234,NA,26,0,203.36,0,0,25,320.364,NA,1.50491,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_151_143_34,OF,151,143,34,234,523,26,1.48,199.64,0,1.48,17,91.8918,NA,0.446163,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_35,AP,134,132,35,235,523,26,NA,NA,NA,NA,NA,NA,125.386,NA,0.627557,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_35,AP,134,132,35,235,NA,26,NA,NA,NA,NA,NA,NA,219.988,NA,1.07165,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_35,C,134,132,35,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_35,OF,134,132,35,235,494,26,3.8,182.24,0,3.8,31,385.275,NA,1.85872,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_35,OF,134,132,35,235,NA,26,11.64,147.76,15.2,26.84,31,318.724,NA,1.54961,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_36,AP,134,132,36,236,406,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_36,AP,134,132,36,236,NA,27,NA,NA,NA,NA,NA,NA,253.549,NA,1.23562,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_36,C,134,132,36,236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_36,OF,134,132,36,236,417,25,0,185.96,0,0,23,208.844,NA,1.0294,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_36,OF,134,132,36,236,NA,27,3.6,193.6,0,3.6,29,306.18,NA,1.48372,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_37,AP,134,132,37,237,554,25,NA,NA,NA,NA,NA,NA,195.195,NA,0.96269,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_37,AP,134,132,37,237,NA,26,NA,NA,NA,NA,NA,NA,539.748,NA,2.63035,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_37,C,134,132,37,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_37,OF,134,132,37,237,NA,27,2.6,125.52,0,2.6,27,246.339,NA,1.39206,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_134_132_37,OF,134,132,37,237,515,27,3.16,158.88,20.32,23.48,23,370.717,NA,1.93203,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_147_143_38,AP,147,143,38,238,792,26,NA,NA,NA,NA,NA,NA,384.098,NA,1.95849,NA,NA,NA,NA,NA,NA,NA
AD_CS2_147_143_38,AP,147,143,38,238,NA,27,NA,NA,NA,NA,NA,NA,408.923,NA,1.97433,NA,NA,NA,NA,NA,NA,NA
AD_CS2_147_143_38,C,147,143,38,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_147_143_38,OF,147,143,38,238,NA,27,0,207.6,0,0,20,169.968,NA,0.79887,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_147_143_38,OF,147,143,38,238,672,27,3.04,170.96,25.24,28.28,30,437.67,NA,2.28096,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_44,AP,102,114,44,244,750,25,NA,NA,NA,NA,NA,NA,343.222,NA,1.70316,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_44,AP,102,114,44,244,NA,26,NA,NA,NA,NA,NA,NA,508.862,NA,2.4659,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_44,C,102,114,44,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_44,OF,102,114,44,244,NA,27,0,0.72,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_44,OF,102,114,44,244,671,26,0,208.92,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_45,AP,102,114,45,245,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_45,AP,102,114,45,245,325,25,NA,NA,NA,NA,NA,NA,541.757,NA,2.62428,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_45,C,102,114,45,245,325,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4630.216763,2.337837838,23.57789,0.079655034,12.5541344,30.43672186,0.637093446
AD_CS2_102_114_45,OF,102,114,45,245,NA,27,0,198,0,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_45,OF,102,114,45,245,326,25,0,200.6,0,0,20,206.33,NA,1.02224,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_51,AP,102,114,51,251,NA,27,NA,NA,NA,NA,NA,NA,375.941,NA,1.85083,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_51,AP,102,114,51,251,618,26,NA,NA,NA,NA,NA,NA,436.998,NA,2.23186,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_51,C,102,114,51,251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_51,OF,102,114,51,251,577,27,0,195.6,16.48,16.48,13,73.9233,NA,0.373577,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_51,OF,102,114,51,251,NA,27,0,178.8,36.8,36.8,21,476.777,NA,2.57106,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_52,AP,102,114,52,252,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_52,AP,102,114,52,252,767,25,NA,NA,NA,NA,NA,NA,569.013,NA,2.74408,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_52,C,102,114,52,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_52,OF,102,114,52,252,710,27,5.8,166.2,0,5.8,13,68.2581,NA,0.346206,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_52,OF,102,114,52,252,NA,27,2.48,183.2,13.88,16.36,30,586.482,NA,2.84258,NA,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_54,AP,102,114,54,254,322,26,NA,NA,NA,NA,NA,NA,363.03,NA,1.78974,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_54,AP,102,114,54,254,NA,26,NA,NA,NA,NA,NA,NA,388.316,NA,1.89867,NA,NA,NA,NA,NA,NA,NA
AD_CS2_102_114_54,C,102,114,54,254,322,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4175.625,2.285714286,0.66016,0.094308571,10.60349006,27.46205412,0.270781429
