,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,In zone Edge / Center-point Cumulative Duration s,In zone Peripheral / Center-point Cumulative Duration s,In zone Center / Center-point Cumulative Duration s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UZ,In zone 2 1 / Center-point Frequency,In zone 2 2 / Center-point Frequency,In zone 2 3 / Center-point Frequency,In zone 2 4 / Center-point Frequency,In zone 2 5 / Center-point Frequency,In zone 2 6 / Center-point Frequency,In zone 2 7 / Center-point Frequency,In zone 2 8 / Center-point Frequency,In zone 2 9 / Center-point Frequency,In zone 2 10 / Center-point Frequency,In zone 2 11 / Center-point Frequency,In zone 2 12 / Center-point Frequency,In zone 2 13 / Center-point Frequency,In zone 2 14 / Center-point Frequency,In zone 2 15 / Center-point Frequency,In zone 2 16 / Center-point Frequency,In zone 2 17 / Center-point Frequency,In zone 2 18 / Center-point Frequency,In zone 2 19 / Center-point Frequency,In zone 2 20 / Center-point Frequency,In zone 2 21 / Center-point Frequency,In zone 2 22 / Center-point Frequency,In zone 2 23 / Center-point Frequency,In zone 2 24 / Center-point Frequency,In zone 2 25 / Center-point Frequency,In zone 2 26 / Center-point Frequency,In zone 2 27 / Center-point Frequency,In zone 2 28 / Center-point Frequency,In zone 2 29 / Center-point Frequency,In zone 2 30 / Center-point Frequency,In zone 2 31 / Center-point Frequency,In zone 2 32 / Center-point Frequency,In zone 2 33 / Center-point Frequency,In zone 2 34 / Center-point Frequency,In zone 2 35 / Center-point Frequency,In zone 2 36 / Center-point Frequency,Velocity Center-point Mean cm/s
Trial    33,Arena 3,AD_CS2_147_143_141,10:46,,1,3,26,7/29/2016,JD,,298.903,188.84,7.76,2.16,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,25,2,1,1,1,1,1,3,0,0,0,0,1,3,0,0,0,0,1,3,0,0,1,1,2,4,1,1,2,0,3,5,5,4,5,5,5,1.46263
Trial    33,Arena 4,AD_CS2_151_143_11,10:46,,1,4,26,7/29/2016,JD,,327.853,202.36,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,3,3,3,3,3,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,4,3,4,4,4,4,1.60586
Trial    34,Arena 1,AD_CS2_134_132_35,11:01,,1,1,26,7/29/2016,JD,,318.724,147.76,45.68,11.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,31,4,4,3,3,3,2,5,5,3,2,2,1,3,2,3,2,2,0,2,1,1,0,1,1,1,1,0,0,0,1,2,1,1,1,1,1,1.54961
Trial    34,Arena 2,AD_CS2_102_114_62,11:01,,1,2,26,7/29/2016,JD,,239.167,196.4,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,3,3,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,2,2,2,2,2,1.16281
Trial    34,Arena 3,AD_CS2_134_132_29,11:01,,1,3,26,7/29/2016,JD,,405.721,195.96,7.88,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,22,4,3,3,3,3,4,4,0,0,0,0,5,3,0,0,0,0,5,3,0,0,0,0,5,3,1,0,0,1,6,3,4,4,4,4,4,1.97182
Trial    34,Arena 4,AD_CS2_134_132_151,11:01,,1,4,26,7/29/2016,JD,,0,205.72,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    35,Arena 1,AD_CS2_147_143_122,11:14,,1,1,26,7/29/2016,JD,,294.411,197.36,4.76,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,23,3,3,3,3,3,3,3,0,0,0,0,2,4,0,0,0,0,2,4,0,0,0,0,2,5,2,0,1,1,3,2,2,2,2,1,2,1.39267
Trial    35,Arena 2,AD_CS2_147_143_130,11:14,,1,2,26,7/29/2016,JD,,204.208,162.64,8.12,36.48,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,24,2,3,3,4,4,3,2,0,0,1,0,2,1,0,0,1,0,2,2,1,1,2,1,2,1,0,0,1,1,1,0,0,0,0,1,1,0.970204
Trial    35,Arena 3,AD_CS2_147_143_129,11:14,,1,3,26,7/29/2016,JD,,253.073,181.96,20.12,3.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,32,3,3,3,4,4,4,3,1,1,1,1,3,2,2,1,1,0,1,2,1,0,1,0,1,0,1,1,1,1,2,1,1,2,2,1,1,1.19713
Trial    35,Arena 4,AD_CS2_151_143_9,11:14,,1,4,26,7/29/2016,JD,,593.569,182.28,13.32,7.32,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,4,4,4,4,4,4,4,0,0,0,2,6,5,1,1,1,1,5,5,0,0,1,1,6,5,1,1,2,2,6,6,6,5,6,6,6,2.8078
Trial    36,Arena 1,AD_CS2_151_143_32,10:50,,1,1,27,8/2/2016,JD,,418.655,201.96,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,5,5,5,5,6,5,5,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,4,3,2,2,2,2,3,2.04461
Trial    36,Arena 2,AD_CS2_134_132_155,10:50,,1,2,27,8/2/2016,JD,,0,202.96,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    36,Arena 3,AD_CS2_134_132_153,10:50,,1,3,27,8/2/2016,JD,,496.64,194.96,3.84,1.04,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,27,5,6,5,5,5,4,5,1,0,0,1,4,6,1,1,1,2,4,6,0,0,0,1,4,5,0,0,0,0,4,4,4,4,3,3,4,2.42548
Trial    36,Arena 4,AD_CS2_102_114_88,10:50,,1,4,27,8/2/2016,JD,,0,204.8,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    37,Arena 1,AD_CS2_102_114_93,11:09,,1,1,27,8/2/2016,JD,,417.725,201.6,5.2,1.68,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,29,3,4,4,4,4,5,2,0,0,0,0,6,1,1,1,1,1,6,2,1,1,0,1,6,2,0,1,1,0,5,2,2,2,3,4,5,1.99563
Trial    37,Arena 2,AD_CS2_102_114_98,11:09,,1,2,27,8/2/2016,JD,,7.16189,205.92,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0347867
Trial    37,Arena 3,AD_CS2_151_143_22,11:09,,1,3,27,8/2/2016,JD,,654.368,199.96,4.16,3.12,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,31,6,7,7,7,7,5,5,1,0,0,1,7,4,1,2,2,1,7,5,1,1,2,2,6,5,0,0,0,1,7,5,5,5,5,5,6,3.12616
Trial    37,Arena 4,AD_CS2_134_132_37,11:09,,1,4,27,8/2/2016,JD,,246.339,125.52,48.88,2.6,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,27,1,3,3,3,3,3,0,2,1,2,1,3,0,1,0,1,1,3,0,1,1,0,0,3,0,1,1,0,1,2,0,2,2,2,4,3,1.39206
Trial    38,Arena 1,AD_CS2_102_114_73,11:23,,1,1,27,8/2/2016,JD,,430.779,182.08,9.92,2.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,33,3,3,4,5,6,5,4,2,1,1,1,6,4,2,0,1,1,5,2,1,1,1,1,4,1,1,3,0,1,5,0,1,1,3,4,6,2.16951
Trial    38,Arena 2,AD_CS2_102_114_45,11:23,,1,2,27,8/2/2016,JD,,0,198,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    38,Arena 3,AD_CS2_151_143_3,11:23,,1,3,27,8/2/2016,JD,,667.711,180.16,11.48,8.92,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,33,5,5,6,9,10,8,4,2,3,3,1,7,3,0,5,5,2,7,3,0,2,3,1,5,4,3,1,2,0,4,3,6,5,6,6,5,3.36277
Trial    38,Arena 4,AD_CS2_102_114_69,11:23,,1,4,27,8/2/2016,JD,,0,50.16,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    39,Arena 1,AD_CS2_147_143_128,10:01,,1,1,27,8/3/2016,JD,,204.934,181.84,16,-,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,23,2,2,1,1,1,1,2,1,0,0,0,1,2,0,0,0,0,1,3,1,0,0,0,1,6,3,0,0,0,1,3,2,1,1,1,1,1.02262
Trial    39,Arena 2,AD_CS2_147_143_140,10:01,,1,2,27,8/3/2016,JD,,229.016,166.8,4.92,5.48,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,24,2,2,2,3,3,3,2,0,0,1,0,3,2,0,1,1,0,3,1,0,1,0,0,3,1,0,1,2,1,2,0,0,0,2,2,2,1.22103
Trial    39,Arena 3,AD_CS2_147_143_114,10:01,,1,3,27,8/3/2016,JD,,418.832,182.92,13.56,0.92,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,31,3,3,3,4,3,3,4,1,1,2,0,3,4,2,0,0,1,4,3,1,1,0,2,4,3,0,2,4,3,3,4,4,4,4,4,3,2.08914
Trial    39,Arena 4,AD_CS2_151_143_30,10:01,,1,4,27,8/3/2016,JD,,768.552,179,6.64,1.72,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,34,5,5,5,6,8,10,6,1,1,2,2,11,5,2,2,1,1,10,3,1,1,1,0,11,3,1,1,1,0,11,3,4,6,7,8,10,4.05355
Trial    40,Arena 1,AD_CS2_134_132_27,10:16,,1,1,27,8/3/2016,JD,,401.241,161.44,32.24,3.28,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,4,4,4,4,4,4,4,0,0,0,2,6,4,0,0,0,1,5,4,1,2,2,2,4,4,2,3,1,1,2,4,3,1,1,1,2,2.00701
Trial    40,Arena 2,AD_CS2_102_114_44,10:16,,1,2,27,8/3/2016,JD,,0,0.72,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trial    40,Arena 3,AD_CS2_147_143_134,10:16,,1,3,27,8/3/2016,JD,,386.91,177.88,11.04,-,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,28,4,4,4,4,4,3,4,1,1,0,2,4,4,0,0,0,1,3,3,1,0,0,1,3,1,1,0,0,1,3,3,5,4,4,4,3,1.93533
Trial    40,Arena 4,AD_CS2_147_143_137,10:16,,1,4,27,8/3/2016,JD,D,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trial    41,Arena 1,AD_CS2_113_99_183,10:36,,1,1,27,8/3/2016,JD,,354.915,180.4,21.88,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,23,4,4,4,4,4,4,4,0,0,0,0,3,4,0,0,0,0,2,4,0,0,0,0,2,5,1,1,0,2,2,4,2,3,3,5,2,1.67697
Trial    41,Arena 2,AD_CS2_113_99_216,10:36,,1,2,27,8/3/2016,JD,,0,207.08,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    41,Arena 3,AD_CS2_113_99_175,10:36,,1,3,27,8/3/2016,JD,I,1.00111,13.04,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.077726
Trial    41,Arena 4,AD_CS2_113_99_221,10:36,,1,4,27,8/3/2016,JD,,427.06,181.88,8.2,5.84,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,28,3,3,3,3,3,3,3,0,1,1,0,3,4,1,2,0,0,3,4,0,2,0,0,3,4,0,2,2,1,4,4,4,4,6,6,5,2.01786
Trial    42,Arena 1,AD_CS2_113_99_212,10:54,,1,1,27,8/3/2016,JD,,537.639,161.56,23.4,7.88,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,35,3,4,4,4,4,4,4,3,3,1,2,5,5,2,3,1,1,5,5,2,2,1,5,6,3,1,0,2,5,4,3,3,3,4,5,4,2.73357
Trial    42,Arena 2,AD_CS2_113_99_160,10:54,,1,2,27,8/3/2016,JD,,0,196.72,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    42,Arena 3,AD_CS2_113_99_170,10:54,,1,3,27,8/3/2016,JD,,521.987,118.88,31.52,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,28,1,3,3,1,3,3,4,5,5,6,6,6,5,1,0,0,1,5,5,0,0,0,1,3,5,0,0,0,1,4,6,6,6,6,7,6,3.36852
Trial    42,Arena 4,AD_CS2_113_99_182,10:54,,1,4,27,8/3/2016,JD,,400.618,192.88,2.52,-,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,24,3,4,2,3,3,4,2,1,1,1,0,5,2,0,0,0,0,5,2,0,0,0,0,5,2,1,0,0,0,5,3,5,5,5,5,5,2.0369
Trial    43,Arena 1,AD_CS2_113_99_169,11:09,,1,1,27,8/3/2016,JD,,543.739,182.88,13.36,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,4,3,3,3,4,5,5,1,1,2,2,6,5,1,0,0,1,5,4,2,0,0,1,6,3,2,1,1,3,7,3,4,4,4,5,5,2.71652
Trial    43,Arena 2,AD_CS2_113_99_162,11:09,,1,2,27,8/3/2016,JD,,437.425,172.04,5.04,4.92,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,25,4,3,3,3,3,3,4,0,0,0,0,3,6,2,0,0,0,3,5,0,2,2,0,3,4,0,0,1,2,4,4,4,4,4,4,5,2.29306
Trial    43,Arena 3,AD_CS2_113_99_219,11:09,,1,3,27,8/3/2016,JD,,234.237,135.28,22.64,2.88,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,24,3,2,2,0,0,0,4,0,2,1,1,1,4,0,1,0,0,1,5,2,1,0,0,1,4,0,0,1,1,1,3,1,1,1,1,0,1.41755
Trial    43,Arena 4,AD_CS2_113_99_213,11:09,,1,4,27,8/3/2016,JD,,589.384,155.4,36.8,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,30,2,4,4,5,5,4,4,5,3,2,1,5,6,4,0,0,2,6,6,3,0,0,1,6,4,4,0,0,1,6,4,7,5,5,5,5,2.96829
Trial    44,Arena 1,AD_CS2_113_99_226,11:25,,1,1,28,8/3/2016,JD,,805.025,167.04,17.32,1.8,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,6,8,8,7,7,7,7,2,0,0,0,7,7,1,0,0,2,9,7,1,2,1,2,8,8,2,5,1,3,9,7,5,6,6,6,6,4.03562
Trial    44,Arena 2,AD_CS2_113_99_186,11:25,,1,2,28,8/3/2016,JD,,588.384,181.52,11.28,2.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,32,5,5,5,5,6,5,5,1,1,1,1,5,6,4,1,0,0,4,5,2,2,1,0,4,5,0,1,3,2,5,5,5,5,6,6,5,2.94959
Trial    44,Arena 3,AD_CS2_113_99_218,11:25,,1,3,28,8/3/2016,JD,,430.464,175.28,19.48,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,4,3,4,3,3,2,5,1,2,1,3,4,4,1,0,0,1,3,4,2,0,0,1,3,3,2,1,2,2,4,3,3,3,4,4,4,2.15793
Trial    44,Arena 4,AD_CS2_113_99_195,11:25,,1,4,28,8/3/2016,JD,,1014.66,170.52,21.76,9.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,4,5,8,9,10,9,6,4,4,1,2,10,7,3,3,0,2,10,10,3,2,1,2,11,9,1,2,2,2,11,9,8,10,11,10,9,5.08653
Trial    45,Arena 1,AD_CS2_113_99_166,11:40,,1,1,28,8/3/2016,JD,,712.567,166.48,26,4.16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,34,5,3,3,5,6,4,7,2,2,2,1,4,7,2,1,3,3,5,7,2,0,2,4,7,5,4,2,1,0,7,3,5,7,7,7,6,3.53596
Trial    45,Arena 2,AD_CS2_113_99_215,11:40,,1,2,28,8/3/2016,JD,,556.311,183.16,13,-,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,28,4,4,4,4,4,3,6,2,1,1,2,5,6,0,0,0,0,5,6,0,0,0,1,5,6,1,0,2,1,5,5,6,6,5,4,4,2.76387
Trial    45,Arena 3,AD_CS2_113_99_220,11:40,,1,3,28,8/3/2016,JD,,196.272,197.16,-,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,20,2,2,2,2,2,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,2,2,2,2,2,2,0.98629
Trial    45,Arena 4,AD_CS2_113_99_163,11:40,,1,4,28,8/3/2016,JD,,335.505,168.68,16.04,-,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,2,3,3,3,5,3,3,1,0,0,2,2,4,1,0,0,1,2,4,0,0,0,1,2,4,2,1,1,1,2,4,4,3,3,2,2,1.66686
Trial    51,Arena 1,AD_CS2_102_114_93,10:26,324,2,1,27,8/17/2016,JD,,103.588,190.92,-,-,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,19,1,1,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0.53986
Trial    51,Arena 2,AD_CS2_147_143_38,10:26,672,2,2,27,8/17/2016,JD,,437.67,170.96,12.4,3.04,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,30,4,4,4,4,4,4,4,2,2,0,1,4,4,2,2,1,1,3,3,0,1,0,0,3,4,1,1,0,0,3,4,4,4,3,3,3,2.28096
Trial    51,Arena 3,AD_CS2_147_143_129,10:26,729,2,3,27,8/17/2016,JD,,0,192,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-
Trial    51,Arena 4,AD_CS2_134_132_37,10:26,515,2,4,27,8/17/2016,JD,,370.717,158.88,16.56,3.16,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,23,7,4,3,3,2,1,7,1,1,2,1,0,6,1,1,1,0,0,4,0,0,0,0,0,4,0,0,0,0,0,4,4,4,4,4,2,1.93203
Trial    52,Arena 1,AD_CS2_151_143_18,10:49,635,2,1,27,8/17/2016,JD,,110.269,193.88,2.28,-,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,20,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,2,1,0,1,2,2,1,0.557252
Trial    52,Arena 2,AD_CS2_134_132_23,10:49,307,2,2,27,8/17/2016,JD,,0,197,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Trial    52,Arena 3,AD_CS2_151_143_21,10:49,692,2,3,27,8/17/2016,JD,,525.673,173.64,11.36,1.92,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,4,4,5,6,7,6,4,0,0,1,1,4,4,0,0,1,1,4,3,1,1,2,2,3,8,5,2,2,1,3,7,3,3,3,3,3,2.74302
Trial    52,Arena 4,AD_CS2_147_143_134,10:49,375,2,4,27,8/17/2016,JD,,219.802,181.64,6.64,3.12,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,25,3,3,3,2,1,1,2,0,0,1,0,1,2,0,0,1,0,1,2,0,0,1,1,2,2,0,0,0,1,2,2,2,2,2,3,2,1.11078
Trial    53,Arena 1,AD_CS2_134_132_154,11:06,385,2,1,27,8/17/2016,JD,,492.613,187.32,8.6,-,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,24,5,5,5,5,5,3,5,0,0,0,2,5,5,0,0,0,0,5,5,0,0,0,0,5,5,0,1,1,2,4,5,5,5,4,4,3,2.46405
Trial    53,Arena 2,AD_CS2_151_143_4,11:06,372,2,2,27,8/17/2016,JD,,594.358,167.56,13.88,9.76,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,33,5,4,4,4,6,6,6,1,1,2,3,6,5,0,2,2,1,5,6,2,2,0,1,5,5,2,0,1,1,5,3,5,5,6,5,5,2.97298
Trial    53,Arena 3,AD_CS2_151_143_15,11:06,964,2,3,27,8/17/2016,JD,,609.765,187.92,6.2,1.2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,2,2,2,2,2,2,2,0,1,1,2,5,2,1,1,0,0,6,2,0,0,1,1,6,3,1,1,3,2,6,8,12,12,11,10,8,3.09651
Trial    53,Arena 4,AD_CS2_134_132_147,11:06,271,2,4,27,8/17/2016,JD,,575.38,176.36,9,5.04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,33,4,5,5,6,7,6,4,1,1,2,1,5,4,1,2,1,0,5,4,1,2,0,0,5,4,1,3,1,1,6,3,5,6,5,5,5,2.87805
