,,Id,Time,Mass,Rep,Arena,Temp,Date,Observer,Status,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s
Trial    27,Arena 1,AD_CS2_151_143_12,10:15,,1,1,27,8/11/2016,JD,,501.174,2.42864
Trial    27,Arena 2,AD_CS2_147_143_38,10:15,,1,2,27,8/11/2016,JD,,408.923,1.97433
Trial    27,Arena 3,AD_CS2_147_143_134,10:15,,1,3,27,8/11/2016,JD,,704.603,3.40322
Trial    27,Arena 4,AD_CS2_134_132_31,10:15,,1,4,27,8/11/2016,JD,E,NA,NA
Trial    28,Arena 1,AD_CS2_102_114_57,10:32,,1,1,27,8/11/2016,JD,,634.365,3.07109
Trial    28,Arena 2,AD_CS2_102_114_62,10:32,,1,2,27,8/11/2016,JD,,496.809,2.43773
Trial    28,Arena 3,AD_CS2_147_143_115,10:32,,1,3,27,8/11/2016,JD,,489.254,2.36858
Trial    28,Arena 4,AD_CS2_134_132_29,10:32,,1,4,27,8/11/2016,JD,,480.113,2.32658
Trial    29,Arena 1,AD_CS2_147_143_106,10:48,,1,1,27,8/11/2016,JD,,278.627,1.34576
Trial    29,Arena 2,AD_CS2_102_114_69,10:48,,1,2,27,8/11/2016,JD,,386.171,1.86232
Trial    29,Arena 3,AD_CS2_102_114_45,10:48,,1,3,27,8/11/2016,JD,E,NA,NA
Trial    29,Arena 4,AD_CS2_134_132_102,10:48,,1,4,27,8/11/2016,JD,,499.025,2.4319
Trial    30,Arena 1,AD_CS2_134_132_147,11:05,,1,1,27,8/11/2016,JD,,625.895,2.94068
Trial    30,Arena 2,AD_CS2_134_132_146,11:05,,1,2,27,8/11/2016,JD,,740.62,3.4797
Trial    30,Arena 3,AD_CS2_147_143_133,11:05,,1,3,27,8/11/2016,JD,,313.103,1.48785
Trial    30,Arena 4,AD_CS2_102_114_95,11:05,,1,4,27,8/11/2016,JD,,659.009,3.09627
Trial    31,Arena 1,AD_CS2_102_114_97,11:30,,1,1,27,8/11/2016,JD,,926.016,4.40038
Trial    31,Arena 2,AD_CS2_134_132_153,11:30,,1,2,27,8/11/2016,JD,,431.473,2.04257
Trial    31,Arena 3,AD_CS2_102_114_91,11:30,,1,3,27,8/11/2016,JD,,234.367,1.1099
Trial    31,Arena 4,AD_CS2_102_114_73,11:30,,1,4,27,8/11/2016,JD,,201.808,0.955351
Trial    32,Arena 1,AD_CS2_151_143_15,10:56,,1,1,27,8/12/2016,JD,,461.164,2.25751
Trial    32,Arena 2,AD_CS2_147_143_131,10:56,,1,2,27,8/12/2016,JD,,306.336,1.53783
Trial    32,Arena 3,AD_CS2_102_114_67,10:56,,1,3,27,8/12/2016,JD,E,NA,NA
Trial    32,Arena 4,AD_CS2_151_143_32,10:56,,1,4,27,8/12/2016,JD, ,312.025,1.52744
Trial    46,Arena 1,AD_CS2_113_99_221,11:11,,1,1,27,8/12/2016,JD,,340.366,1.67668
Trial    46,Arena 2,AD_CS2_113_99_175,11:11,,1,2,27,8/12/2016,JD,,160.608,0.79336
Trial    46,Arena 3,AD_CS2_113_99_213,11:11,,1,3,27,8/12/2016,JD,,337.109,1.66129
Trial    46,Arena 4,AD_CS2_113_99_219,11:11,,1,4,27,8/12/2016,JD,,740.96,3.65149
Trial    47,Arena 1,AD_CS2_113_99_160,11:00,,1,1,26,8/16/2016,JD,,615.812,3.10514
Trial    47,Arena 2,AD_CS2_113_99_215,11:00,,1,2,26,8/16/2016,JD,,509.779,2.56945
Trial    47,Arena 3,AD_CS2_113_99_183,11:00,,1,3,26,8/16/2016,JD,,260.513,1.32294
Trial    47,Arena 4,AD_CS2_113_99_216,11:00,,1,4,26,8/16/2016,JD,,436.591,2.20056
Trial    48,Arena 1,AD_CS2_113_99_186,11:14,,1,1,26,8/16/2016,JD,,694.605,3.53813
Trial    48,Arena 2,AD_CS2_113_99_163,11:14,,1,2,26,8/16/2016,JD,,341.445,1.73993
Trial    48,Arena 3,AD_CS2_113_99_195,11:14,,1,3,26,8/16/2016,JD,,558.695,2.847
Trial    48,Arena 4,AD_CS2_113_99_220,11:14,,1,4,26,8/16/2016,JD,,161.042,0.820638
Trial    49,Arena 1,AD_CS2_113_99_162,11:31,,1,1,27,8/16/2016,JD,,435.781,2.19471
Trial    49,Arena 2,AD_CS2_113_99_212,11:31,,1,2,27,8/16/2016,JD,E,NA,NA
Trial    49,Arena 3,AD_CS2_113_99_226,11:31,,1,3,27,8/16/2016,JD,,415.979,2.09245
Trial    49,Arena 4,AD_CS2_113_99_169,11:31,,1,4,27,8/16/2016,JD,,702.073,3.53013
Trial    50,Arena 1,AD_CS2_113_99_218,11:45,,1,1,27,8/16/2016,JD,E,NA,NA
Trial    50,Arena 2,AD_CS2_113_99_182,11:45,,1,2,27,8/16/2016,JD,,361.206,1.71741
Trial    50,Arena 3,AD_CS2_113_99_166,11:45,,1,3,27,8/16/2016,JD,,386.089,1.8305
Trial    50,Arena 4,AD_CS2_113_99_170,11:45,,1,4,27,8/16/2016,JD,,383.831,1.83968
Trial    76,Arena 1,AD_CS2_134_132_36,10:02,406,2,1,25,9/6/2016,JD,E,NA,NA
Trial    76,Arena 2,AD_CS2_151_143_22,10:02,418,2,2,25,9/6/2016,JD,,568.937,2.8711
Trial    76,Arena 3,AD_CS2_102_114_97,10:02,588,2,3,25,9/6/2016,JD,,584.901,2.95285
Trial    76,Arena 4,AD_CS2_147_143_137,10:02,NA,2,4,25,9/6/2016,JD,D,NA,NA
Trial    77,Arena 1,AD_CS2_151_143_33,10:23,434,2,1,26,9/6/2016,JD,,252.541,1.2377
Trial    77,Arena 2,AD_CS2_134_132_102,10:23,336,2,2,26,9/6/2016,JD,,453.532,2.22189
Trial    77,Arena 3,AD_CS2_102_114_98,10:23,513,2,3,26,9/6/2016,JD,,337.755,1.65534
Trial    77,Arena 4,AD_CS2_147_143_113,10:23,422,2,4,26,9/6/2016,JD,,330.093,1.61779
Trial    78,Arena 1,AD_CS2_134_132_155,10:41,481,2,1,26,9/6/2016,JD,,186.607,0.948399
Trial    78,Arena 2,AD_CS2_147_143_114,10:41,390,2,2,26,9/6/2016,JD,,373.655,1.88107
Trial    78,Arena 3,AD_CS2_151_143_4,10:41,368,2,3,26,9/6/2016,JD,,459.66,2.31497
Trial    78,Arena 4,AD_CS2_151_143_14,10:41,NA,2,4,26,9/6/2016,JD,D,NA,NA
Trial    79,Arena 1,AD_CS2_147_143_130,9:26,382,2,1,25,9/8/2016,JD,,396.699,1.92162
Trial    79,Arena 2,AD_CS2_151_143_12,9:26,941,2,2,25,9/8/2016,JD,,448.255,2.20685
Trial    79,Arena 3,AD_CS2_151_143_20,9:26,NA,2,3,25,9/8/2016,JD,D,NA,NA
